Prueba ,Efic,Presión,F(GPM),% SólidosA,% Agua A  ,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Solidos t/h - O,Agua t/h -O,Solidos t/h - U,Agua t/h - U,D50c  ,Alfa  ,Vi (m/s),Vθt (m/s),Do/Dc  ,Du/Dc,Di/Dc ,Lc/Dc ,Dc ^2 ,pp (ton/m3) ,ps (ton/m3)  ,fv ,Vh/Vt,um(Kg/m.s)  ,Re  ,1/Tan(teta)  ,Cos(i/2)  ,(ps-pf)/pf ,(ps-pp)/ps,raiz(P/pp) ,1/tan(teta/2)),(Vt^2)/gRmax ,Cos (i/180) ,um/uw  
7,25.02,6,22.19,34.2,65.8,5.03,6.39,2.19,4.2,1.62,3.89,0.58,0.3,30,3.335498517,0.69,1.42,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.34,1.64E-03,54346.75705,5.14,0.71,1.05,0.51,1.82,10.39, 4.015 ,1,1.629
17,36.12,6,23.27,33.6,66.4,5.28,6.71,2.25,4.46,1.48,4.21,0.77,0.25,286.83,3.335498517,0.72,1.49,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.16,0.35,1.62E-03,57765.349,5.14,0.71,1.05,0.51,1.82,10.39, 4.424 ,1,1.609
4,78.35,6.5,31,12,88,7.03,7.59,0.91,6.68,0.21,6.18,0.7,0.5,40.82,3.335498517,0.96,1.98,0.3595,0.11,0.5,4.5625,0.01032256,1.08,2.6,0.05,0.73,1.14E-03,92363.30115,5.14,0.71,1.41,0.58,2.06,10.39, 7.843 ,1,1.139
22,20.00,7,25.9,28.3,71.7,5.87,7.04,1.99,5.05,1.59,4.82,0.4,0.23,136.77,3.335498517,0.80,1.65,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,67645.88683,5.14,0.71,1.17,0.54,2.03,10.39, 5.468 ,1,1.442
5,79.31,7,32.73,11.2,88.8,7.42,8.01,0.9,7.11,0.12,6.68,0.78,0.43,30,3.335498517,1.02,2.09,0.3595,0.11,0.5,4.5625,0.01032256,1.08,2.6,0.05,0.75,1.13E-03,98306.27069,5.14,0.71,1.41,0.58,2.14,10.39, 8.737 ,1,1.129
16,26.92,7.5,25.23,34.6,65.4,5.72,7.26,2.51,4.75,1.8,4.34,0.71,0.41,30,3.335498517,0.78,1.61,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.34,1.64E-03,61467.83273,5.14,0.71,1.05,0.51,2.04,10.39, 5.192 ,1,1.636
23,5.62,10.5,32.69,27.3,72.7,7.41,8.89,2.43,6.46,2.41,6.45,0.02,0.01,30,3.335498517,1.02,2.09,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,86576.99807,5.14,0.71,1.17,0.54,2.48,10.39, 8.713 ,1,1.423
25,52.69857143,6.5,25.18,28.4,71.6,5.71,6.85,1.95,4.90,0.92,4.31,1.03,0.59,111.93,4.33,0.78,1.61,0.3595,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,65620.4308,5.14,0.71,1.17,0.54,1.95,10.39, 5.174 ,1,1.446
26,53.03714286,6,24.52,26.5,73.5,5.56,6.62,1.75,4.87,0.79,4.09,0.96,0.78,108.50,4.33,0.76,1.57,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.41E-03,65499.29743,5.14,0.71,1.18,0.54,1.88,10.39, 4.906 ,1,1.400
27,56.39428571,8.5,29.43,28.1,71.9,6.67,8.00,2.25,5.75,0.97,5.01,1.28,0.74,98.74,4.33,0.91,1.88,0.3595,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,77027.6828,5.14,0.71,1.17,0.54,2.23,10.39, 7.060 ,1,1.439
28,56.10857143,9,31.19,26.1,73.9,7.07,8.41,2.2,6.21,1.08,5.57,1.12,0.64,99.92,4.33,0.97,1.99,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,83565.45811,5.14,0.71,1.19,0.54,2.31,10.39, 7.932 ,1,1.394
29,55.25571429,6,25.1,27.1,72.9,5.69,6.83,1.85,4.98,0.84,4.34,1.01,0.64,103.39,4.33,0.78,1.60,0.3595,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.42E-03,66740.51004,5.14,0.71,1.17,0.54,1.87,10.39, 5.138 ,1,1.418
30,58.27,5,23.13,26.2,73.8,5.25,6.25,1.64,4.61,0.71,4.06,0.93,0.55,94.17,4.33,0.72,1.48,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,62013.45646,5.14,0.71,1.18,0.54,1.72,10.39, 4.374 ,1,1.396
31,58.32,4,20,26.2,73.8,4.54,5.40,1.41,3.99,0.61,3.49,0.81,0.5,94.01,4.33,0.62,1.28,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,53695.22257,5.14,0.71,1.19,0.54,1.54,10.39, 3.271 ,1,1.393
32,55.04,3,18.75,26.8,73.2,4.25,5.06,1.36,3.70,0.63,3.25,0.73,0.45,104.29,4.33,0.58,1.20,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.42E-03,49750.61215,5.14,0.71,1.18,0.54,1.33,10.39, 2.866 ,1,1.409
33,59.13,2,16.54,26.5,73.5,3.75,4.46,1.18,3.28,0.5,2.89,0.68,0.39,91.93,4.33,0.51,1.06,0.3595,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.41E-03,44132.2245,5.14,0.71,1.19,0.54,1.09,10.39, 2.232 ,1,1.400
34,74.82,6.5,27.56,22.5,77.5,6.25,7.25,1.63,5.62,0.42,4.92,1.21,0.7,55.24,4.33,0.86,1.76,0.3595,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.53,1.32E-03,76408.99,5.14,0.71,1.24,0.55,1.98,10.39, 6.199 ,1,1.315
35,64.53,5,24.16,23.5,76.5,5.48,6.36,1.49,4.87,0.6,4.36,0.89,0.51,74.1,4.33,0.75,1.54,0.3595,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,66177.73556,5.14,0.71,1.24,0.55,1.74,10.39, 4.766 ,1,1.332
