Prueba ,Efic,Presión,F(GPM),% SólidosA,% Agua A  ,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Solidos t/h - O,Agua t/h -O,Solidos t/h - U,Agua t/h - U,D50c  ,Alfa  ,Vi (m/s),Vθt (m/s),Do/Dc  ,Du/Dc,Di/Dc ,Lc/Dc ,Dc ^2 ,pp (ton/m3) ,ps (ton/m3)  ,fv ,Vh/Vt,um(Kg/m.s)  ,Re  ,1/Tan(teta)  ,Cos(i/2)  ,(ps-pf)/pf ,(ps-pp)/ps,raiz(P/pp) ,1/tan(teta/2)),(Vt^2)/gRmax ,Cos (i/180) ,um/uw  
82,58.68184333,5.5,22.15,27.2,72.8,5.02,6.02,1.64,4.38,0.53,3.82,1.11,0.56,79.25,3.309982912,0.69,1.41,0.2425,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,58714.86153,5.14,0.71,1.17,0.54,1.80,10.39, 3.999 ,1,1.421
83,64.95580574,5.5,24.27,23.4,76.6,5.5,6.38,1.49,4.89,0.45,4.36,1.04,0.53,68.17,3.309982912,0.75,1.55,0.2425,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,66461.77462,5.14,0.71,1.24,0.55,1.83,10.39, 4.800 ,1,1.330
84,70.22318022,6,25.81,20.1,79.9,5.85,6.67,1.34,5.33,0.41,4.81,0.93,0.52,60.43,3.309982912,0.80,1.65,0.2425,0.14,0.5,4.5625,0.01032256,1.14,2.6,0.09,0.57,1.27E-03,72872.23797,5.14,0.71,1.28,0.56,1.92,10.39, 5.431 ,1,1.268
85,34.42790554,13.5,34.87,29.6,70.4,7.91,9.65,2.86,6.79,1.67,6.17,1.19,0.63,166.58,3.309982912,1.08,2.23,0.2425,0.14,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.41,1.49E-03,90190.67724,5.14,0.71,1.13,0.53,2.79,10.39, 9.929 ,1,1.482
86,53.66414337,8,27.77,26.4,73.6,6.3,7.50,1.98,5.52,0.86,4.92,1.12,0.6,89.25,3.309982912,0.86,1.78,0.2425,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.41E-03,74247.16266,5.14,0.71,1.18,0.54,2.17,10.39, 6.298 ,1,1.400
87,53.28455543,7,26.74,25,75,6.06,7.15,1.79,5.36,0.75,4.79,1.04,0.57,89.36,3.309982912,0.83,1.71,0.2425,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.38E-03,72387.06834,5.14,0.71,1.20,0.55,2.04,10.39, 5.828 ,1,1.369
88,54.65433057,6,24.76,24.4,75.6,5.62,6.63,1.62,5.01,0.71,4.53,0.91,0.48,87.32,3.309982912,0.77,1.58,0.2425,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.36E-03,67686.27836,5.14,0.71,1.20,0.55,1.89,10.39, 5.012 ,1,1.357
89,51.23382507,7,26.1,27.2,72.8,5.92,7.10,1.93,5.17,0.8,4.57,1.13,0.6,95.14,3.309982912,0.81,1.67,0.2425,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,69305.19538,5.14,0.71,1.17,0.54,2.03,10.39, 5.562 ,1,1.419
90,73.29281038,4,20.95,23,77,4.75,5.51,1.27,4.24,0.32,3.69,0.95,0.55,52.65,3.309982912,0.65,1.34,0.2425,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.33E-03,57633.86433,5.14,0.71,1.24,0.55,1.56,10.39, 3.580 ,1,1.325
91,48.35911369,6,24.04,25,75,5.45,6.43,1.61,4.82,0.77,4.37,0.84,0.45,101.67,3.309982912,0.75,1.54,0.2425,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.38E-03,65095.18873,5.14,0.71,1.20,0.55,1.89,10.39, 4.714 ,1,1.369
92,65.70725452,3.5,19.35,23.3,76.7,4.39,5.09,1.19,3.90,0.35,3.41,0.84,0.49,67.45,3.309982912,0.60,1.24,0.2425,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,53013.6804,5.14,0.71,1.24,0.55,1.46,10.39, 3.058 ,1,1.330
93,55.28989627,7.5,26.5,24.5,75.5,6.01,7.09,1.74,5.35,0.76,4.83,0.98,0.52,85.95,3.309982912,0.82,1.69,0.2425,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.37E-03,72275.59295,5.14,0.71,1.20,0.55,2.11,10.39, 5.732 ,1,1.359
94,42.30095159,8,26.56,30.2,69.8,6.02,7.40,2.23,5.17,1.15,4.58,1.09,0.58,120.27,3.309982912,0.83,1.70,0.2425,0.14,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,68403.30483,5.14,0.71,1.12,0.53,2.14,10.39, 5.751 ,1,1.499
95,48.3242435,5,21.83,28.8,71.2,4.95,6.04,1.74,4.30,0.81,3.8,0.93,0.5,102.25,3.309982912,0.68,1.39,0.2425,0.14,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.42,1.47E-03,57155.92799,5.14,0.71,1.13,0.53,1.70,10.39, 3.888 ,1,1.464
96,70.61521831,3,18.24,23.6,76.4,4.14,4.80,1.13,3.67,0.33,3.21,0.8,0.46,60.21,3.309982912,0.57,1.17,0.2425,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,49884.872,5.14,0.71,1.24,0.55,1.35,10.39, 2.720 ,1,1.333
97,66.71378214,2,14.34,25.6,74.4,3.25,3.87,0.99,2.88,0.25,2.43,0.74,0.43,67.11,3.309982912,0.45,0.92,0.2425,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,38754.95211,5.14,0.71,1.18,0.54,1.09,10.39, 1.676 ,1,1.384
98,87.4628243,1.5,12.46,25.2,74.8,2.83,3.34,0.84,2.50,0.07,2.04,0.77,0.46,0,3.309982912,0.39,0.80,0.2425,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.38E-03,33757.06227,5.14,0.71,1.20,0.55,0.95,10.39, 1.271 ,1,1.371
99,56.06834921,6,24.63,24.6,75.4,5.59,6.60,1.62,4.98,0.61,4.41,1.01,0.57,84.66,3.309982912,0.77,1.58,0.2425,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.37E-03,67257.99226,5.14,0.71,1.20,0.55,1.89,10.39, 4.959 ,1,1.360
100,65.73564743,8.5,29.89,21.9,78.1,6.78,7.80,1.71,6.09,0.56,5.45,1.15,0.64,66.83,3.309982912,0.93,1.91,0.2425,0.14,0.5,4.5625,0.01032256,1.15,2.6,0.10,0.54,1.31E-03,83016.76244,5.14,0.71,1.26,0.56,2.28,10.39, 7.295 ,1,1.302
101,78.40252052,7,27.44,23.4,76.6,6.22,7.22,1.69,5.53,0.33,4.81,1.36,0.72,41.21,3.309982912,0.85,1.75,0.2425,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.52,1.34E-03,75143.1231,5.14,0.71,1.24,0.55,2.06,10.39, 6.140 ,1,1.331
102,92.29211871,3,18.98,15,85,4.3,4.73,0.71,4.02,0.07,3.69,0.64,0.33,0,3.309982912,0.59,1.21,0.2425,0.14,0.5,4.5625,0.01032256,1.10,2.6,0.06,0.67,1.19E-03,55427.37148,5.14,0.71,1.36,0.58,1.38,10.39, 2.934 ,1,1.182
103,88.64311172,1.5,12.85,15.3,84.7,2.91,3.20,0.49,2.71,0.09,2.51,0.4,0.2,0,3.309982912,0.40,0.82,0.2425,0.14,0.5,4.5625,0.01032256,1.10,2.6,0.06,0.67,1.19E-03,37367.21222,5.14,0.71,1.36,0.58,0.98,10.39, 1.344 ,1,1.186
104,84.52988184,7.5,26.43,30.3,69.7,5.99,7.37,2.23,5.14,0.28,4.1,1.95,1.04,21.49,0.849393536,0.82,1.69,0.2425,0.2125,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,67968.26996,5.14,0.71,1.11,0.53,2.07,10.39, 5.694 ,1,1.502
105,92.57328338,3,15.93,28.3,71.7,3.61,4.33,1.23,3.10,0.06,1.75,1.17,1.35,0,0.849393536,0.49,1.02,0.2425,0.2125,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,41519.55379,5.14,0.71,1.17,0.54,1.33,10.39, 2.068 ,1,1.445
106,91.4534939,2,14.97,26.1,73.9,3.4,4.05,1.06,2.99,0.06,1.66,1,1.33,0,0.849393536,0.47,0.96,0.2425,0.2125,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,40214.25823,5.14,0.71,1.18,0.54,1.09,10.39, 1.834 ,1,1.395
107,78.89880221,12.5,32.89,30.7,69.3,7.46,9.18,2.82,6.36,0.44,5.16,2.38,1.2,40.62,0.849393536,1.02,2.10,0.2425,0.2125,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.40,1.52E-03,84054.97428,5.14,0.71,1.11,0.53,2.67,10.39, 8.831 ,1,1.513
108,92.57135378,4,19.57,26.6,73.4,4.44,5.28,1.4,3.88,0.08,2.37,1.33,1.5,,0.849393536,0.61,1.25,0.2425,0.2125,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.41E-03,52205.7368,5.14,0.71,1.19,0.54,1.54,10.39, 3.128 ,1,1.401
109,77.77073511,11,30.32,32.6,67.4,6.88,8.60,2.8,5.80,0.47,4.6,2.33,1.2,41.49,0.849393536,0.94,1.94,0.2425,0.2125,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.37,1.58E-03,75898.35814,5.14,0.71,1.08,0.52,2.49,10.39, 7.512 ,1,1.570
110,83.87489007,5.5,21.18,33.3,66.7,4.8,6.00,2,4.00,0.26,3.07,1.74,0.93,20.64,0.849393536,0.66,1.35,0.2425,0.2125,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.36,1.60E-03,52293.80746,5.14,0.71,1.08,0.52,1.76,10.39, 3.656 ,1,1.590
111,90.53763697,2.5,14.23,31.6,68.4,3.23,3.97,1.25,2.72,0.08,1.51,1.18,1.2,0,0.849393536,0.44,0.91,0.2425,0.2125,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.39,1.54E-03,35941.33144,5.14,0.71,1.12,0.53,1.20,10.39, 1.656 ,1,1.530
112,90.37357837,2.5,14.44,31.6,68.4,3.27,4.02,1.27,2.75,0.08,1.55,1.19,1.2,0,0.849393536,0.45,0.92,0.2425,0.2125,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.39,1.54E-03,36330.35864,5.14,0.71,1.11,0.53,1.20,10.39, 1.697 ,1,1.533
113,90.39359299,3,16.84,30,70,3.82,4.66,1.4,3.26,0.1,1.98,1.3,1.28,0,0.849393536,0.52,1.08,0.2425,0.2125,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.41,1.50E-03,43287.64521,5.14,0.71,1.13,0.53,1.31,10.39, 2.316 ,1,1.492
114,14.01766925,12,31.89,30.5,69.5,7.23,8.89,2.71,6.18,2.21,5.92,0.5,0.26,,5.080310776,0.99,2.04,0.17975,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,81725.93335,5.14,0.71,1.11,0.53,2.62,10.39, 8.295 ,1,1.507
115,16.24664169,10,28.94,31,69,6.56,8.07,2.5,5.57,1.97,5.29,0.53,0.28,0,5.080310776,0.90,1.85,0.17975,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.39,1.53E-03,73605.6548,5.14,0.71,1.11,0.53,2.39,10.39, 6.829 ,1,1.519
116,47.37766703,8,27.51,29.5,70.5,6.24,7.61,2.24,5.37,1.03,4.83,1.22,0.53,107.13,5.080310776,0.86,1.76,0.17975,0.11,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.42,1.49E-03,71353.22513,5.14,0.71,1.13,0.53,2.15,10.39, 6.179 ,1,1.478
117,47.7500486,7.5,26.3,26.9,73.1,5.96,7.09,1.91,5.18,0.9,4.64,1.01,0.54,103.95,5.080310776,0.82,1.68,0.17975,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.42E-03,69670.56439,5.14,0.71,1.19,0.54,2.11,10.39, 5.637 ,1,1.410
118,47.44103698,6,23.37,26.7,73.3,5.3,6.31,1.68,4.63,0.81,4.19,0.87,0.44,104.19,5.080310776,0.73,1.49,0.17975,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.41E-03,62265.621,5.14,0.71,1.18,0.54,1.88,10.39, 4.458 ,1,1.404
119,56.48259347,4.5,20.16,25.4,74.6,4.57,5.44,1.38,4.06,0.56,3.64,0.81,0.43,84.24,5.080310776,0.63,1.29,0.17975,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,54648.23822,5.14,0.71,1.18,0.54,1.63,10.39, 3.314 ,1,1.379
120,79.39239365,2,14.22,22.5,77.5,3.23,3.75,0.84,2.91,0.17,2.52,0.67,0.39,36.43,5.080310776,0.44,0.91,0.17975,0.11,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.53,1.32E-03,39555.35853,5.14,0.71,1.24,0.55,1.10,10.39, 1.656 ,1,1.314
121,43.25331406,4,17.06,32.9,67.1,3.87,4.84,1.59,3.25,0.76,2.81,0.83,0.44,117.05,5.080310776,0.53,1.09,0.17975,0.11,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.37,1.59E-03,42502.11946,5.14,0.71,1.08,0.52,1.50,10.39, 2.377 ,1,1.578
122,13.18194731,10,29.02,30.4,69.6,6.58,8.09,2.46,5.63,2.01,5.39,0.45,0.24,0,5.080310776,0.90,1.85,0.17975,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,74461.6332,5.14,0.71,1.11,0.53,2.39,10.39, 6.871 ,1,1.505
123,13.20029631,10.5,29.8,29.2,70.8,6.76,8.25,2.41,5.84,1.98,5.61,0.43,0.23,0,5.080310776,0.93,1.90,0.17975,0.11,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.42,1.48E-03,77590.06522,5.14,0.71,1.13,0.53,2.46,10.39, 7.252 ,1,1.473
124,11.20822349,10,29.52,27.2,72.8,6.7,8.04,2.19,5.85,1.89,5.7,0.3,0.15,0,5.080310776,0.92,1.89,0.17975,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,78400.21933,5.14,0.71,1.17,0.54,2.42,10.39, 7.124 ,1,1.421
125,13.55734629,9.5,28.86,30.4,69.6,6.55,8.06,2.45,5.61,2.01,5.38,0.44,0.23,0,5.080310776,0.90,1.85,0.17975,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,74168.27052,5.14,0.71,1.11,0.53,2.33,10.39, 6.808 ,1,1.506
126,32.86603074,5,18.74,34.6,65.4,4.25,5.40,1.87,3.53,1.02,3.08,0.85,0.45,161.61,5.080310776,0.58,1.20,0.17975,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.34,1.65E-03,45648.08613,5.14,0.71,1.05,0.51,1.66,10.39, 2.866 ,1,1.639
127,36.71271382,6.5,22.14,32.8,67.2,5.02,6.28,2.06,4.22,1.08,3.72,0.98,0.5,146.36,5.080310776,0.69,1.41,0.17975,0.11,0.5,4.5625,0.01032256,1.25,2.6,0.16,0.37,1.58E-03,55182.54763,5.14,0.71,1.08,0.52,1.91,10.39, 3.999 ,1,1.577
128,22.55418405,7.5,25.66,27.4,72.6,5.82,6.98,1.91,5.07,1.39,4.79,0.52,0.28,216.92,5.080310776,0.80,1.64,0.17975,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,67956.1139,5.14,0.71,1.17,0.54,2.10,10.39, 5.375 ,1,1.423
129,40.08303434,5,19.9,30.3,69.7,4.51,5.55,1.68,3.87,0.86,3.43,0.82,0.44,127.8,5.080310776,0.62,1.27,0.17975,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.14,0.40,1.51E-03,51169.72839,5.14,0.71,1.11,0.53,1.69,10.39, 3.228 ,1,1.503
130,24.10099982,10,31.39,23.8,76.2,7.12,8.40,2,6.40,1.69,6.23,0.31,0.17,185,5.080310776,0.98,2.01,0.17975,0.11,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.51,1.35E-03,86496.27991,5.14,0.71,1.20,0.55,2.44,10.39, 8.045 ,1,1.346
131,58.64599803,8.5,26.66,29.9,70.1,6.05,7.38,2.21,5.17,0.84,4.32,1.37,0.85,79.7,1.745042808,0.83,1.70,0.17975,0.14,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.41,1.50E-03,68656.90406,5.14,0.71,1.13,0.53,2.21,10.39, 5.809 ,1,1.489
132,67.23850361,6.5,24.137,28.1,71.9,5.47,6.56,1.84,4.72,0.62,3.96,1.22,0.76,64.06,1.745042808,0.75,1.54,0.17975,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.44E-03,63235.76339,5.14,0.71,1.17,0.54,1.95,10.39, 4.748 ,1,1.437
133,77.29419061,3.5,18.46,26,74,4.19,4.99,1.3,3.69,0.31,3.04,0.99,0.65,42.89,1.745042808,0.57,1.18,0.17975,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,49636.69318,5.14,0.71,1.18,0.54,1.44,10.39, 2.786 ,1,1.393
134,84.50609857,2.5,14.97,23.9,76.1,3.4,4.01,0.96,3.05,0.17,2.49,0.79,0.56,21.29,1.745042808,0.47,0.96,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.35E-03,41221.78304,5.14,0.71,1.20,0.55,1.22,10.39, 1.834 ,1,1.348
135,84.25913223,1.5,11.16,22.4,77.6,2.53,2.93,0.66,2.27,0.13,1.87,0.53,0.4,0,1.745042808,0.35,0.71,0.17975,0.14,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.53,1.32E-03,30877.30695,5.14,0.71,1.25,0.55,0.95,10.39, 1.016 ,1,1.315
136,71.49495987,10,31.09,24.5,75.5,7.05,8.32,2.04,6.28,0.57,5.5,1.47,0.78,0.304563868,1.745042808,0.97,1.99,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.37E-03,84829.72079,5.14,0.71,1.20,0.55,2.44,10.39, 7.887 ,1,1.359
137,62.56936492,9,28.21,26.6,73.4,6.4,7.62,2.03,5.59,0.76,4.86,1.27,0.73,71.63,1.745042808,0.88,1.80,0.17975,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.46,1.41E-03,75173.82635,5.14,0.71,1.18,0.54,2.31,10.39, 6.500 ,1,1.404
138,74.8879232,7,25.72,25,75,5.83,6.88,1.72,5.16,0.45,4.42,1.27,0.74,49.34,1.745042808,0.80,1.64,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.37E-03,69682.58518,5.14,0.71,1.20,0.55,2.04,10.39, 5.394 ,1,1.368
139,67.18816067,7,26.03,25.8,74.2,5.9,7.02,1.81,5.21,0.63,4.53,1.18,0.68,64.12,1.745042808,0.81,1.66,0.17975,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.39E-03,70119.3802,5.14,0.71,1.19,0.54,2.03,10.39, 5.524 ,1,1.387
140,73.43674429,6.5,24.48,25.6,74.4,5.55,6.60,1.69,4.91,0.43,4.18,1.26,0.73,51.38,1.745042808,0.76,1.56,0.17975,0.14,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,66102.40542,5.14,0.71,1.19,0.54,1.96,10.39, 4.888 ,1,1.383
141,78.41696895,6.5,25.07,24.3,75.7,5.69,6.71,1.63,5.08,0.37,4.3,1.26,0.78,40.16,1.745042808,0.78,1.60,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.36E-03,68646.53685,5.14,0.71,1.20,0.55,1.97,10.39, 5.138 ,1,1.354
142,51.55535137,9.5,28.94,28.2,71.8,6.56,7.87,2.22,5.65,0.96,4.98,1.26,0.67,94.43,1.745042808,0.90,1.85,0.17975,0.14,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,75676.18696,5.14,0.71,1.17,0.54,2.36,10.39, 6.829 ,1,1.441
143,75.31528888,6,23.59,24.4,75.6,5.35,6.31,1.54,4.77,0.35,4.1,1.19,0.67,48.54,1.745042808,0.73,1.51,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.36E-03,64449.97809,5.14,0.71,1.20,0.55,1.89,10.39, 4.542 ,1,1.356
144,81.6445427,4.5,20.31,24.6,75.4,4.61,5.44,1.34,4.10,0.24,3.5,1.1,0.6,33.85,1.745042808,0.63,1.30,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.49,1.37E-03,55380.41104,5.14,0.71,1.20,0.55,1.64,10.39, 3.373 ,1,1.361
145,72.31469861,4.5,20.57,24.3,,4.67,5.51,1.34,4.17,0.24,3.54,1.1,0.63,0,1.745042808,0.64,1.32,0.17975,0.14,0.5,4.5625,0.01032256,1.18,2.6,0.11,0.50,1.36E-03,56338.95328,5.14,0.71,1.20,0.55,1.64,10.39, 3.461 ,1,1.355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promedio 
