Prueba,Efic,Presión,F(GPM),% SólidosA,% Agua A,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Vi (m/s),Do/Dc,Du/Dc,pp (ton/m3),ps (ton/m3),fv,Vh/Vt,um(Kg/m.s),Re,(ps-pf)/pf,(ps-pp)/ps,raiz(P/pp),1/tan(teta/2)),um/uw
32,55.04,3,18.75,26.8,73.2,4.25,5.06,1.36,3.7,0.58,0.3595,0.14,1.19,2.6,0.12,0.46,0.00142,49750.61215,1.18,0.54,1.33,10.39,1.409
33,59.13,2,16.54,26.5,73.5,3.75,4.46,1.18,3.28,0.51,0.3595,0.14,1.19,2.6,0.12,0.47,0.00141,44132.2245,1.19,0.54,1.09,10.39,1.4
34,74.82,6.5,27.56,22.5,77.5,6.25,7.25,1.63,5.62,0.86,0.3595,0.14,1.16,2.6,0.1,0.53,0.00132,76408.99,1.24,0.55,1.98,10.39,1.315
35,64.53,5,24.16,23.5,76.5,5.48,6.36,1.49,4.87,0.75,0.3595,0.14,1.16,2.6,0.1,0.52,0.00134,66177.73556,1.24,0.55,1.74,10.39,1.332
36,62.48,4.5,22.54,23.2,76.8,5.11,5.93,1.38,4.55,0.7,0.3595,0.14,1.16,2.6,0.1,0.52,0.00134,61834.75716,1.24,0.55,1.65,10.39,1.329
37,39.79,5,22.58,38,62,5.12,6.66,2.53,4.13,0.7,0.3595,0.14,1.3,2.6,0.19,0.3,0.00177,52319.7143,1,0.5,1.64,10.39,1.764
38,39.52,4.5,18.32,37.9,62.1,4.15,5.4,2.05,3.35,0.57,0.3595,0.14,1.3,2.6,0.19,0.3,0.00177,42431.07938,1,0.5,1.56,10.39,1.763
39,44.34,3,15.32,37.6,62.4,3.47,4.51,1.7,2.81,0.48,0.3595,0.14,1.3,2.6,0.19,0.3,0.00176,35637.59219,1,0.5,1.27,10.39,1.753
40,70.34,10,32.1,20.6,79.4,7.28,8.37,1.72,6.65,1,0.3595,0.14,1.15,2.6,0.09,0.56,0.00128,90708.08763,1.26,0.56,2.47,10.39,1.278
41,70.46,6,25.94,20.8,79.2,5.88,6.76,1.41,5.35,0.81,0.3595,0.14,1.15,2.6,0.09,0.56,0.00129,72968.71652,1.26,0.56,1.92,10.39,1.284
42,70.51,5,23.07,19.2,80.8,5.23,5.96,1.14,4.82,0.72,0.3595,0.14,1.14,2.6,0.08,0.59,0.00126,65926.11767,1.28,0.56,1.76,10.39,1.253
43,83,3,18.47,20.1,79.9,4.19,4.78,0.96,3.82,0.57,0.3595,0.14,1.14,2.6,0.09,0.57,0.00127,52219.93991,1.28,0.56,1.36,10.39,1.268
44,74.25,2.5,16.53,19.5,80.5,3.75,4.28,0.83,3.45,0.51,0.3595,0.14,1.14,2.6,0.09,0.59,0.00126,47166.15834,1.28,0.56,1.24,10.39,1.257
45,41.67,7.5,26.39,32.5,67.5,5.99,7.49,2.43,5.06,0.82,0.3595,0.14,1.25,2.6,0.16,0.37,0.00158,66212.79388,1.08,0.52,2.05,10.39,1.567
46,47.83,6,23.69,32,68,5.37,6.71,2.15,4.56,0.74,0.3595,0.14,1.25,2.6,0.15,0.38,0.00156,59722.18775,1.08,0.52,1.84,10.39,1.557
47,51.19,4.5,20.27,30.1,69.9,4.6,5.61,1.69,3.92,0.63,0.3595,0.14,1.22,2.6,0.14,0.41,0.0015,52054.07878,1.13,0.53,1.61,10.39,1.493
48,55.25,3,16.63,30.9,69.1,3.77,4.64,1.43,3.21,0.52,0.3595,0.14,1.23,2.6,0.15,0.4,0.00152,42416.25399,1.11,0.53,1.31,10.39,1.516
49,58.04428571,2.5,14.98,31.8,68.2,3.4,4.25,1.35,2.9,0.47,0.3595,0.14,1.25,2.6,0.15,0.38,0.00156,37987.48883,1.08,0.52,1.19,10.39,1.55
50,67.00714286,8,29.49,24.1,75.9,6.69,7.89,1.9,5.99,0.92,0.3595,0.14,1.18,2.6,0.11,0.5,0.00136,80950.96021,1.2,0.55,2.18,10.39,1.35
51,72.51285714,7,28.94,21.9,78.1,6.56,7.54,1.65,5.89,0.9,0.3595,0.14,1.15,2.6,0.1,0.54,0.00131,80312.48061,1.26,0.56,2.07,10.39,1.301
