Prueba,Efic,Presión,F(GPM),% SólidosA,% Agua A,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Vi (m/s),Do/Dc,Du/Dc,pp (ton/m3),ps (ton/m3),fv,Vh/Vt,um(Kg/m.s),Re,(ps-pf)/pf,(ps-pp)/ps,raiz(P/pp),1/tan(teta/2)),um/uw
102,15.6991,3,18.98,15,85,4.3,4.73,0.71,4.02,0.59,0.2425,0.14,1.10,2.6,0.06,0.67,1.19E-03,55427.37148,1.36,0.58,1.38,10.39,1.182
61,22.1277,2.5,15.65,26.7,73.3,3.55,4.22,1.13,3.09,0.49,0.3595,0.2125,1.19,2.6,0.12,0.46,1.41E-03,41575.77781,1.19,0.54,1.22,10.39,1.406
110,22.836,5.5,21.18,33.3,66.7,4.8,6.00,2,4.00,0.66,0.2425,0.2125,1.25,2.6,0.16,0.36,1.60E-03,52293.80746,1.08,0.52,1.76,10.39,1.590
5,24.2424,3,17.23,30,70,3.91,4.77,1.43,3.34,0.54,0.3595,0.11,1.22,2.6,0.14,0.41,1.50E-03,44351.55052,1.13,0.53,1.31,10.39,1.490
60,25.7341,2.5,16.48,25.7,74.3,3.74,4.45,1.14,3.31,0.51,0.3595,0.2125,1.19,2.6,0.12,0.48,1.39E-03,44552.75642,1.19,0.54,1.22,10.39,1.384
59,26.786,3.5,19.58,24.8,75.2,4.44,5.24,1.3,3.94,0.61,0.3595,0.2125,1.18,2.6,0.11,0.49,1.37E-03,53211.74198,1.20,0.55,1.44,10.39,1.364
58,28.7764,5.5,23.32,27.8,72.2,5.29,6.35,1.77,4.58,0.72,0.3595,0.2125,1.20,2.6,0.13,0.44,1.44E-03,61344.38847,1.17,0.54,1.79,10.39,1.434
104,28.9102,7.5,26.43,30.3,69.7,5.99,7.37,2.23,5.14,0.82,0.2425,0.2125,1.23,2.6,0.14,0.40,1.51E-03,67968.26996,1.11,0.53,2.07,10.39,1.502
6,29.2516,3.5,18.29,27.47,72.53,4.15,4.98,1.37,3.61,0.57,0.3595,0.11,1.20,2.6,0.13,0.45,1.43E-03,48370.82912,1.17,0.54,1.43,10.39,1.426
135,30.3829,1.5,11.16,22.4,77.6,2.53,2.93,0.66,2.27,0.35,0.17975,0.14,1.16,2.6,0.10,0.53,1.32E-03,30877.30695,1.25,0.55,0.95,10.39,1.315
109,33.9557,11,30.32,32.6,67.4,6.88,8.60,2.8,5.80,0.94,0.2425,0.2125,1.25,2.6,0.16,0.37,1.58E-03,75898.35814,1.08,0.52,2.49,10.39,1.570
57,34.6743,7.5,27.49,28.4,71.6,6.23,7.48,2.12,5.36,0.85,0.3595,0.2125,1.20,2.6,0.13,0.44,1.45E-03,71762.03022,1.17,0.54,2.10,10.39,1.444
70,34.9469,7,29.6,20.8,79.2,6.71,7.72,1.61,6.11,0.92,0.3595,0.2125,1.15,2.6,0.09,0.56,1.29E-03,83317.53956,1.26,0.56,2.07,10.39,1.284
98,35.1549,1.5,12.46,25.2,74.8,2.83,3.34,0.84,2.50,0.39,0.2425,0.14,1.18,2.6,0.11,0.49,1.38E-03,33757.06227,1.20,0.55,0.95,10.39,1.371
134,35.823,2.5,14.97,23.9,76.1,3.4,4.01,0.96,3.05,0.47,0.17975,0.14,1.18,2.6,0.11,0.50,1.35E-03,41221.78304,1.20,0.55,1.22,10.39,1.348
15,36.8154,5,19.95,34.1,65.9,4.52,5.74,1.96,3.78,0.62,0.3595,0.11,1.27,2.6,0.17,0.35,1.63E-03,48931.7185,1.05,0.51,1.66,10.39,1.625
103,38.2302,1.5,12.85,15.3,84.7,2.91,3.20,0.49,2.71,0.40,0.2425,0.14,1.10,2.6,0.06,0.67,1.19E-03,37367.21222,1.36,0.58,0.98,10.39,1.186
107,38.7346,12.5,32.89,30.7,69.3,7.46,9.18,2.82,6.36,1.02,0.2425,0.2125,1.23,2.6,0.15,0.40,1.52E-03,84054.97428,1.11,0.53,2.67,10.39,1.513
62,41.8593,9,32.47,23.9,76.1,7.36,8.68,2.07,6.61,1.01,0.3595,0.2125,1.18,2.6,0.11,0.51,1.35E-03,89342.94769,1.20,0.55,2.32,10.39,1.346
120,42.932,2,14.22,22.5,77.5,3.23,3.75,0.84,2.91,0.44,0.17975,0.11,1.16,2.6,0.10,0.53,1.32E-03,39555.35853,1.24,0.55,1.10,10.39,1.314
133,43.6955,3.5,18.46,26,74,4.19,4.99,1.3,3.69,0.57,0.17975,0.14,1.19,2.6,0.12,0.47,1.40E-03,49636.69318,1.18,0.54,1.44,10.39,1.393
65,45.1815,9.5,30.45,28.7,71.3,6.91,8.43,2.42,6.01,0.95,0.3595,0.2125,1.22,2.6,0.13,0.43,1.47E-03,79899.63419,1.13,0.53,2.34,10.39,1.462
141,45.4061,6.5,25.07,24.3,75.7,5.69,6.71,1.63,5.08,0.78,0.17975,0.14,1.18,2.6,0.11,0.50,1.36E-03,68646.53685,1.20,0.55,1.97,10.39,1.354
56,47.0981,7,25.88,29,71,5.87,7.16,2.08,5.08,0.80,0.3595,0.2125,1.22,2.6,0.14,0.42,1.48E-03,67518.82354,1.13,0.53,2.01,10.39,1.469
144,47.604,4.5,20.31,24.6,75.4,4.61,5.44,1.34,4.10,0.63,0.17975,0.14,1.18,2.6,0.11,0.49,1.37E-03,55380.41104,1.20,0.55,1.64,10.39,1.361
69,48.1631,9,32.3,23.6,76.4,7.33,8.50,2.01,6.49,1.00,0.3595,0.2125,1.16,2.6,0.11,0.51,1.34E-03,88208.09904,1.24,0.55,2.34,10.39,1.335
145,48.3509,4.5,20.57,24.3,,4.67,5.51,1.34,4.17,0.64,0.17975,0.14,1.18,2.6,0.11,0.50,1.36E-03,56338.95328,1.20,0.55,1.64,10.39,1.355
68,51.0997,14,39.33,25.7,74.3,8.92,10.61,2.73,7.88,1.22,0.3595,0.2125,1.19,2.6,0.12,0.48,1.39E-03,106069.516,1.19,0.54,2.88,10.39,1.386
14,51.2567,4,19.33,28.6,71.4,4.38,5.34,1.53,3.81,0.60,0.3595,0.11,1.22,2.6,0.13,0.43,1.47E-03,50668.67172,1.13,0.53,1.52,10.39,1.460
63,51.2858,5,21.96,33.3,66.7,4.98,6.23,2.07,4.16,0.68,0.3595,0.2125,1.25,2.6,0.16,0.36,1.60E-03,54369.11176,1.08,0.52,1.68,10.39,1.588
64,51.5592,7.5,26.24,32.2,67.8,5.95,7.44,2.4,5.04,0.82,0.3595,0.2125,1.25,2.6,0.16,0.37,1.57E-03,65966.50808,1.08,0.52,2.05,10.39,1.563
140,51.7799,6.5,24.48,25.6,74.4,5.55,6.60,1.69,4.91,0.76,0.17975,0.14,1.19,2.6,0.12,0.48,1.39E-03,66102.40542,1.19,0.54,1.96,10.39,1.383
44,52.9907,2.5,16.53,19.5,80.5,3.75,4.28,0.83,3.45,0.51,0.3595,0.14,1.14,2.6,0.09,0.59,1.26E-03,47166.15834,1.28,0.56,1.24,10.39,1.257
90,53.011,4,20.95,23,77,4.75,5.51,1.27,4.24,0.65,0.2425,0.14,1.16,2.6,0.10,0.52,1.33E-03,57633.86433,1.24,0.55,1.56,10.39,1.325
138,53.0379,7,25.72,25,75,5.83,6.88,1.72,5.16,0.80,0.17975,0.14,1.18,2.6,0.11,0.49,1.37E-03,69682.58518,1.20,0.55,2.04,10.39,1.368
101,53.0957,7,27.44,23.4,76.6,6.22,7.22,1.69,5.53,0.85,0.2425,0.14,1.16,2.6,0.10,0.52,1.34E-03,75143.1231,1.24,0.55,2.06,10.39,1.331
40,53.7446,10,32.1,20.6,79.4,7.28,8.37,1.72,6.65,1.00,0.3595,0.14,1.15,2.6,0.09,0.56,1.28E-03,90708.08763,1.26,0.56,2.47,10.39,1.278
4,54.7575,3,21.58,5.8,94.2,4.89,5.04,0.29,4.75,0.67,0.3595,0.11,1.03,2.6,0.02,0.87,1.07E-03,65887.83241,1.52,0.60,1.43,10.39,1.060
143,55.2548,6,23.59,24.4,75.6,5.35,6.31,1.54,4.77,0.73,0.17975,0.14,1.18,2.6,0.11,0.50,1.36E-03,64449.97809,1.20,0.55,1.89,10.39,1.356
136,55.6877,10,31.09,24.5,75.5,7.05,8.32,2.04,6.28,0.97,0.17975,0.14,1.18,2.6,0.11,0.50,1.37E-03,84829.72079,1.20,0.55,2.44,10.39,1.359
132,57.1054,6.5,24.137,28.1,71.9,5.47,6.56,1.84,4.72,0.75,0.17975,0.14,1.20,2.6,0.13,0.44,1.44E-03,63235.76339,1.17,0.54,1.95,10.39,1.437
131,57.1268,8.5,26.66,29.9,70.1,6.05,7.38,2.21,5.17,0.83,0.17975,0.14,1.22,2.6,0.14,0.41,1.50E-03,68656.90406,1.13,0.53,2.21,10.39,1.489
97,57.9764,2,14.34,25.6,74.4,3.25,3.87,0.99,2.88,0.45,0.2425,0.14,1.19,2.6,0.12,0.48,1.39E-03,38754.95211,1.18,0.54,1.09,10.39,1.384
13,59.8007,4,20.9,22.1,77.9,4.74,5.5,1.22,4.28,0.65,0.3595,0.11,1.16,2.6,0.10,0.54,1.32E-03,58192.74364,1.24,0.55,1.56,10.39,1.309
43,60.2264,3,18.47,20.1,79.9,4.19,4.78,0.96,3.82,0.57,0.3595,0.14,1.14,2.6,0.09,0.57,1.27E-03,52219.93991,1.28,0.56,1.36,10.39,1.268
34,60.6305,6.5,27.56,22.5,77.5,6.25,7.25,1.63,5.62,0.86,0.3595,0.14,1.16,2.6,0.10,0.53,1.32E-03,76408.99,1.24,0.55,1.98,10.39,1.315
67,60.749,14.5,39.76,25.4,74.6,9.02,10.73,2.73,8.00,1.24,0.3595,0.2125,1.19,2.6,0.12,0.48,1.39E-03,107701.4686,1.19,0.54,2.93,10.39,1.380
139,61.3802,7,26.03,25.8,74.2,5.9,7.02,1.81,5.21,0.81,0.17975,0.14,1.19,2.6,0.12,0.47,1.39E-03,70119.3802,1.19,0.54,2.03,10.39,1.387
54,61.9952,10,35.11,30.4,69.6,7.96,9.79,2.98,6.81,1.09,0.3595,0.2125,1.23,2.6,0.14,0.40,1.51E-03,90050.98754,1.11,0.53,2.39,10.39,1.506
51,62.19,7,28.94,21.9,78.1,6.56,7.54,1.65,5.89,0.90,0.3595,0.14,1.15,2.6,0.10,0.54,1.31E-03,80312.48061,1.26,0.56,2.07,10.39,1.301
92,62.6298,3.5,19.35,23.3,76.7,4.39,5.09,1.19,3.90,0.60,0.2425,0.14,1.16,2.6,0.10,0.52,1.34E-03,53013.6804,1.24,0.55,1.46,10.39,1.330
55,63.0136,10,30.72,30.2,69.8,6.97,8.57,2.59,5.98,0.96,0.3595,0.2125,1.23,2.6,0.14,0.40,1.51E-03,79103.66595,1.11,0.53,2.39,10.39,1.501
137,63.6219,9,28.21,26.6,73.4,6.4,7.62,2.03,5.59,0.88,0.17975,0.14,1.19,2.6,0.12,0.46,1.41E-03,75173.82635,1.18,0.54,2.31,10.39,1.404
96,64.4599,3,18.24,23.6,76.4,4.14,4.80,1.13,3.67,0.57,0.2425,0.14,1.16,2.6,0.10,0.52,1.34E-03,49884.872,1.24,0.55,1.35,10.39,1.333
83,64.7228,5.5,24.27,23.4,76.6,5.5,6.38,1.49,4.89,0.75,0.2425,0.14,1.16,2.6,0.10,0.52,1.34E-03,66461.77462,1.24,0.55,1.83,10.39,1.330
93,65.9569,7.5,26.5,24.5,75.5,6.01,7.09,1.74,5.35,0.82,0.2425,0.14,1.18,2.6,0.11,0.50,1.37E-03,72275.59295,1.20,0.55,2.11,10.39,1.359
66,66.373,14,35.23,33.7,66.3,7.99,10.15,3.42,6.73,1.10,0.3595,0.2125,1.27,2.6,0.16,0.35,1.62E-03,87163.02068,1.05,0.51,2.78,10.39,1.613
84,66.5058,6,25.81,20.1,79.9,5.85,6.67,1.34,5.33,0.80,0.2425,0.14,1.14,2.6,0.09,0.57,1.27E-03,72872.23797,1.28,0.56,1.92,10.39,1.268
10,68.2659,3.5,17.71,33.5,66.5,4.02,5.11,1.71,3.4,0.55,0.3595,0.11,1.27,2.6,0.16,0.35,1.62E-03,44035.09016,1.05,0.51,1.39,10.39,1.608
41,68.3387,6,25.94,20.8,79.2,5.88,6.76,1.41,5.35,0.81,0.3595,0.14,1.15,2.6,0.09,0.56,1.29E-03,72968.71652,1.26,0.56,1.92,10.39,1.284
78,68.5006,2,15,18.2,81.8,3.4,3.81,0.69,3.12,0.47,0.2425,0.11,1.12,2.6,0.08,0.61,1.24E-03,42850.52364,1.32,0.57,1.12,10.39,1.232
52,68.638,5.5,24.87,23.1,76.9,5.64,6.54,1.51,5.03,0.77,0.3595,0.14,1.16,2.6,0.10,0.52,1.33E-03,68378.97726,1.24,0.55,1.83,10.39,1.325
100,69.5526,8.5,29.89,21.9,78.1,6.78,7.80,1.71,6.09,0.93,0.2425,0.14,1.15,2.6,0.10,0.54,1.31E-03,83016.76244,1.26,0.56,2.28,10.39,1.302
88,69.6981,6,24.76,24.4,75.6,5.62,6.63,1.62,5.01,0.77,0.2425,0.14,1.18,2.6,0.11,0.50,1.36E-03,67686.27836,1.20,0.55,1.89,10.39,1.357
50,69.7253,8,29.49,24.1,75.9,6.69,7.89,1.9,5.99,0.92,0.3595,0.14,1.18,2.6,0.11,0.50,1.36E-03,80950.96021,1.20,0.55,2.18,10.39,1.350
26,69.8102,6,24.52,26.5,73.5,5.56,6.62,1.75,4.87,0.76,0.3595,0.14,1.19,2.6,0.12,0.47,1.41E-03,65499.29743,1.18,0.54,1.88,10.39,1.400
77,70.2909,2,15.14,19.6,80.4,3.43,3.91,0.77,3.14,0.47,0.2425,0.11,1.14,2.6,0.09,0.58,1.27E-03,42937.21395,1.28,0.56,1.11,10.39,1.262
27,70.4905,8.5,29.43,28.1,71.9,6.67,8.00,2.25,5.75,0.91,0.3595,0.14,1.20,2.6,0.13,0.44,1.45E-03,77027.6828,1.17,0.54,2.23,10.39,1.439
